gbifID,Species,Latitude,Longitude
891126048,Amazona oratrix,17.606797,-88.475974
891115567,Amazona oratrix,23.562161,-97.727205
5024037860,Amazona oratrix,17.407322,-88.176834
4440780667,Amazona oratrix,18.382104,-92.022693
4405272765,Amazona oratrix,17.97587,-92.235635
4266275503,Amazona oratrix,20.676765,-87.05108
4242862504,Amazona oratrix,20.676765,-87.12798
4179343099,Amazona oratrix,20.607557,-87.0927
4169279536,Amazona oratrix,16.45139,-94.62972
4169261357,Amazona oratrix,15.98333,-97.71667
4169243806,Amazona oratrix,15.98333,-97.71667
4169234057,Amazona oratrix,15.98333,-97.71667
3988443694,Amazona oratrix,17.740082,-88.636258
3858827095,Amazona oratrix,17.657826,-88.643541
3764188538,Amazona oratrix,16.884879,-95.09694
3306367955,Amazona oratrix,"18.353831945699667, -92.10355843697755",
3306367919,Amazona oratrix,"18.238790901450184, -92.01631851363092",
3306367609,Amazona oratrix,"18.252599856564068, -92.13990840503865",
3306367556,Amazona oratrix,"18.219226337675373, -92.13990840503865",
3306367364,Amazona oratrix,"18.380280568511733, -91.92786692468223",
3306367273,Amazona oratrix,"18.160519457405282, -92.11082843080462",
3306367208,Amazona oratrix,"18.121370567910102, -92.12294508627002",
3306366856,Amazona oratrix,"18.63995051493224, -91.93998357871533",
3306366806,Amazona oratrix,"18.058022954651936, -92.124156752445",
3306366730,Amazona oratrix,"18.299772165923592, -92.0320701666902",
3306366425,Amazona oratrix,"18.601697080760154, -91.89759476738374",
3306366307,Amazona oratrix,"18.62815866833056, -92.18351950189216",
3306366225,Amazona oratrix,"18.65567435048773, -92.28962438591809",
3306366179,Amazona oratrix,"18.10027426113281, -92.09193423513888",
3306365960,Amazona oratrix,"18.15653125094302, -92.12432414646992",
3306365935,Amazona oratrix,"18.61757452667194, -92.1969222241193",
3306365855,Amazona oratrix,"18.34321673937909, -92.02715441300491",
3306365841,Amazona oratrix,"18.36865827761935, -92.11873967873495",
3306365821,Amazona oratrix,"18.362298243648993, -91.87302311001677",
3306365813,Amazona oratrix,"18.244595418996337, -92.11650589174661",
3306365741,Amazona oratrix,"18.663081657435225, -92.12990861402325",
3306365734,Amazona oratrix,"18.23504844436459, -92.02603751847093",
3306365306,Amazona oratrix,"18.224440080798974, -92.07183015173204",
3306365182,Amazona oratrix,"18.19473322315712, -92.09640180860386",
3306365070,Amazona oratrix,"18.221257445598873, -91.90764680808854",
3306365050,Amazona oratrix,"18.640099856349497, -92.4056956793256",
3306364706,Amazona oratrix,"18.62303118302634, -92.4327146869903",
3306364644,Amazona oratrix,"18.610228553355434, -92.35766188792175",
3306364103,Amazona oratrix,"18.63441048931618, -92.46874003134167",
3306363823,Amazona oratrix,"18.60880597877804, -91.89983981158522",
3306363568,Amazona oratrix,"18.807850256711205, -91.34294803431234",
3306363475,Amazona oratrix,"18.36679619157475, -91.83529440341039",
3306363315,Amazona oratrix,"18.58319761734837, -92.33364499162093",
3306363269,Amazona oratrix,"18.59031143773349, -92.36816927919247",
3306363240,Amazona oratrix,"18.318353330081102, -91.90884614747345",
3306363122,Amazona oratrix,"18.566123235532164, -92.02442745803901",
3306363101,Amazona oratrix,"18.309803176750282, -91.92535776215959",
3306363100,Amazona oratrix,"18.25706793051743, -91.79776800374306",
3306363055,Amazona oratrix,"18.17436965145766, -91.83979757122144",
3306363031,Amazona oratrix,"18.197186892092592, -91.98239788945168",
3306363009,Amazona oratrix,"18.58035200459863, -92.31263020646223",
3306362957,Amazona oratrix,,
3306362955,Amazona oratrix,,
3306362631,Amazona oratrix,,
3306362560,Amazona oratrix,,
3306362431,Amazona oratrix,,
3306362240,Amazona oratrix,,
3306362217,Amazona oratrix,,
3306361816,Amazona oratrix,,
3306361562,Amazona oratrix,,
3306361535,Amazona oratrix,,
3306361163,Amazona oratrix,,
3306360894,Amazona oratrix,,
3306360869,Amazona oratrix,,
3306360615,Amazona oratrix,,
3306360606,Amazona oratrix,,
3306360583,Amazona oratrix,,
3306360074,Amazona oratrix,,
3306360004,Amazona oratrix,,
3306359962,Amazona oratrix,,
3306359956,Amazona oratrix,,
3306359628,Amazona oratrix,,
3306359578,Amazona oratrix,,
3306359421,Amazona oratrix,,
3306359147,Amazona oratrix,,
3306359108,Amazona oratrix,,
3306359045,Amazona oratrix,,
3306358902,Amazona oratrix,"18.466488658401513, -92.10848659519164",
