species,longitude,latitude
Amazona oratrix,-97.727205,23.562161
Amazona oratrix,-92.022693,18.382104
Amazona oratrix,-92.235635,17.97587
Amazona oratrix,-95.09694,16.884879
Amazona oratrix,-92.10355844,18.35383195
Amazona oratrix,-92.01631851,18.2387909
Amazona oratrix,-92.13990841,18.25259986
Amazona oratrix,-92.13990841,18.21922634
Amazona oratrix,-91.92786692,18.38028057
Amazona oratrix,-92.11082843,18.16051946
Amazona oratrix,-92.12294509,18.12137057
Amazona oratrix,-91.93998358,18.63995051
Amazona oratrix,-92.12415675,18.05802295
Amazona oratrix,-92.03207017,18.29977217
Amazona oratrix,-91.89759477,18.60169708
Amazona oratrix,-92.1835195,18.62815867
Amazona oratrix,-92.28962439,18.65567435
Amazona oratrix,-92.09193424,18.10027426
Amazona oratrix,-92.12432415,18.15653125
Amazona oratrix,-92.19692222,18.61757453
Amazona oratrix,-92.02715441,18.34321674
Amazona oratrix,-92.11873968,18.36865828
Amazona oratrix,-91.87302311,18.36229824
Amazona oratrix,-92.11650589,18.24459542
Amazona oratrix,-92.12990861,18.66308166
Amazona oratrix,-92.02603752,18.23504844
Amazona oratrix,-92.07183015,18.22444008
Amazona oratrix,-92.09640181,18.19473322
Amazona oratrix,-91.90764681,18.22125745
Amazona oratrix,-92.40569568,18.64009986
Amazona oratrix,-92.43271469,18.62303118
Amazona oratrix,-92.35766189,18.61022855
Amazona oratrix,-92.46874003,18.63441049
Amazona oratrix,-91.89983981,18.60880598
Amazona oratrix,-91.8352944,18.36679619
Amazona oratrix,-92.33364499,18.58319762
Amazona oratrix,-92.36816928,18.59031144
Amazona oratrix,-91.90884615,18.31835333
Amazona oratrix,-92.02442746,18.56612324
Amazona oratrix,-91.92535776,18.30980318
Amazona oratrix,-91.797768,18.25706793
Amazona oratrix,-91.83979757,18.17436965
Amazona oratrix,-91.98239789,18.19718689
Amazona oratrix,-92.31263021,18.580352
Amazona oratrix,-92.1084866,18.46648866
Amazona oratrix,-92.35916294,18.61022855
Amazona oratrix,-92.13850771,18.13157929
Amazona oratrix,-92.1084866,18.10447331
Amazona oratrix,-92.13250349,18.33117776
Amazona oratrix,-92.1084866,18.35682377
Amazona oratrix,-92.11148871,18.40525584
Amazona oratrix,-92.1084866,18.31692833
Amazona oratrix,-92.16402567,18.11303354
Amazona oratrix,-92.14901511,18.0202754
Amazona oratrix,-92.18504045,18.08592469
Amazona oratrix,-92.10098131,18.03169443
Amazona oratrix,-92.20005101,18.11588686
Amazona oratrix,-92.25108691,17.99457988
Amazona oratrix,-92.2480848,18.14013819
Amazona oratrix,-92.22707002,18.12872622
Amazona oratrix,-92.25859219,18.27559836
Amazona oratrix,-92.3733914,18.60487269
Amazona oratrix,-92.41471646,18.62604189
Amazona oratrix,-91.7200087,18.4481389
Amazona oratrix,-91.98918003,18.48627655
Amazona oratrix,-92.10868764,18.10133588
Amazona oratrix,-92.29520885,18.55829117
Amazona oratrix,-91.91434817,18.35699804
Amazona oratrix,-92.2538838,18.61122373
Amazona oratrix,-92.25946826,18.64297536
Amazona oratrix,-91.87414,18.31565084
Amazona oratrix,-91.75239861,18.45343631
Amazona oratrix,-91.80154193,18.43966272
