gbifID	verbatimScientificName	decimalLatitude	decimalLongitude			stateProvince	county	municipality	locality
976577564	Amazona oratrix	18.827383	-98.94667			Morelos	Cuautla		"Callejón Reforma, Cuautla"
972019792	Amazona oratrix	18.919415	-99.217636			Morelos	Cuernavaca		Hosteria Las Quintas
958387012	Amazona oratrix	18.930008	-99.215744			Morelos	Cuernavaca		MX/Mor- Cuernavaca- Vista Hermosa
945279911	Amazona oratrix	19.190142	-99.85551			Estado de México	Temascaltepec		El Mapa
891146634	Amazona oratrix tresmariae	21.690139	-106.582855			Nayarit			
891126048	Amazona oratrix	17.606797	-88.475974			Belize			
891115567	Amazona oratrix	23.562161	-97.727205			Tamaulipas			
819650040	Amazona oratrix	19.291977	-99.09634			Ciudad de México	Xochimilco		Parque Ecológico de Xochimilco
5024037860	Amazona oratrix	17.407322	-88.176834						UTM50_16Q_0350_1900
4440780667	Amazona oratrix	18.382104	-92.022693			Campeche			
4405272765	Amazona oratrix	17.97587	-92.235635			Tabasco			
4315957458	Amazona oratrix	18.998465	-99.10058			Morelos	Tepoztlán		Camino al Tepozteco
4314965928	Amazona oratrix	19.311144	-99.11107			Ciudad de México	Coyoacán		Eje 3 Ote y Clz de las Bombas
4295725870	Amazona oratrix	19.31333	-99.198906			Ciudad de México	Coyoacán		"CCH Sur, UNAM."
4266275503	Amazona oratrix	20.676765	-87.05108			Quintana Roo	Solidaridad		Playa Del Carmen
4260145392	Amazona oratrix	20.85917	-90.4			Yucatán	Celestún		Celestun
4242862504	Amazona oratrix	20.676765	-87.12798			Quintana Roo	Solidaridad		Playa Del Carmen
4179343099	Amazona oratrix	20.607557	-87.0927			Quintana Roo	Solidaridad		"Xaman Ha Aviary, Playa del Carmen, Mexico"
4179328562	Amazona oratrix	19.298874	-99.18899			Ciudad de México	Tlalpan		Deportivo Villa Olimpica
4179238873	Amazona oratrix	19.31608	-99.1921			Ciudad de México	Coyoacán		Reserva Ecológica del Pedregal de San Angel
4179222782	Amazona oratrix	19.31608	-99.1921			Ciudad de México	Coyoacán		Reserva Ecológica del Pedregal de San Angel
