gbifID,verbatimScientificName,decimalLatitude,decimalLongitude
891146634,Amazona oratrix,21.690139,-106.582855
5024037860,Amazona oratrix,17.407322,-88.176834
4169279536,Amazona oratrix,16.45139,-94.62972
4169261357,Amazona oratrix,15.98333,-97.71667
4169243806,Amazona oratrix,15.98333,-97.71667
4169234057,Amazona oratrix,15.98333,-97.71667
3764188538,Amazona oratrix,16.884879,-95.09694
3039460794,Amazona oratrix,21.67627,-106.651494
2630716306,Amazona oratrix,19.201667,-104.685
2630697276,Amazona oratrix,17.858333,-91.996667
2243701722,Amazona oratrix,18.0024,-94.5653
2243700409,Amazona oratrix,18.0024,-94.5653
2243688304,Amazona oratrix,18.0024,-94.5653
2243672394,Amazona oratrix,18.0024,-94.5653
2243635321,Amazona oratrix,23.666667,-97.7
2243634492,Amazona oratrix,23.666667,-97.7
2243634287,Amazona oratrix,23.666667,-97.7
2243633819,Amazona oratrix,23.666667,-97.7
2243569358,Amazona oratrix,18.0024,-94.5653
2006057352,Amazona oratrix,21.497803,-106.404582
1897579147,Amazona oratrix,18.035999,-102.060997
1897579125,Amazona oratrix,18.035999,-102.060997
1897564386,Amazona oratrix,15.846944,-96.870556
1897564370,Amazona oratrix,16.315278,-97.605278
1897564367,Amazona oratrix,18.249306,-102.149
1897564360,Amazona oratrix,15.883889,-96.972222
1897564353,Amazona oratrix,18.155194,-102.310333
1897564348,Amazona oratrix,18.302222,-102.493056
1897564345,Amazona oratrix,18.260639,-102.138528
1897564341,Amazona oratrix,18.098611,-101.708333
1897564338,Amazona oratrix,16.070278,-97.894722
1897564334,Amazona oratrix,18.235139,-102.176
1897564329,Amazona oratrix,15.891361,-96.197944
1897564327,Amazona oratrix,18.239139,-102.168139
1897564326,Amazona oratrix,18.296194,-102.085444
1897564324,Amazona oratrix,18.253556,-102.154333
1897564320,Amazona oratrix,18.252,-102.501806
1897564318,Amazona oratrix,16.331944,-98.022222
1897564316,Amazona oratrix,16.475,-98.275
1897564314,Amazona oratrix,18.211083,-102.501278
1897564313,Amazona oratrix,18.288889,-102.466889
1897564309,Amazona oratrix,18.065306,-102.514361
1897564308,Amazona oratrix,18.263583,-102.5105
1897564304,Amazona oratrix,16.21,-97.619722
1897564303,Amazona oratrix,18.239333,-102.154972
1897564302,Amazona oratrix,17.657966,-91.925605
1897564299,Amazona oratrix,18.102,-102.395083
1897564293,Amazona oratrix,16.071944,-97.6225
1897564292,Amazona oratrix,18.206389,-102.016944
1897564290,Amazona oratrix,17.764371,-91.794571
1897564289,Amazona oratrix,18.223056,-103.084167
1897564288,Amazona oratrix,18.300972,-102.494833
1897564287,Amazona oratrix,15.824722,-96.072778
1897564286,Amazona oratrix,16.154444,-95.441667
1897564285,Amazona oratrix,16.016944,-97.758056
1897564282,Amazona oratrix,18.286389,-103.351389
1897564280,Amazona oratrix,18.143333,-102.5175
1897564278,Amazona oratrix,15.908333,-96.246389
1897564277,Amazona oratrix,18.218611,-102.246667
1897564276,Amazona oratrix,19.474722,-105.025556
1897564273,Amazona oratrix,19.487778,-105.038333
1897564272,Amazona oratrix,18.243667,-102.166667
1897564270,Amazona oratrix,18.333056,-103.462778
1897564269,Amazona oratrix,17.311556,-95.052222
1897564267,Amazona oratrix,17.185306,-95.114056
1897564266,Amazona oratrix,15.998889,-97.773056
1897564264,Amazona oratrix,16.758056,-97.991389
1897564263,Amazona oratrix,15.858056,-96.74
1897564259,Amazona oratrix,18.231667,-102.017778
1897564258,Amazona oratrix,18.092139,-102.407611
1897564255,Amazona oratrix,18.098611,-102.617778
1897564252,Amazona oratrix,18.095556,-102.393056
1897564251,Amazona oratrix,15.828056,-96.074722
1897564250,Amazona oratrix,18.26275,-102.499917
1897564249,Amazona oratrix,17.475,-100.576111
1897564248,Amazona oratrix,16.196944,-97.647222
1897564247,Amazona oratrix,18.850556,-101.635
1897564245,Amazona oratrix,17.486389,-100.559722
1897564244,Amazona oratrix,16.418889,-95.437778
1897564242,Amazona oratrix,15.9225,-96.174444
1897564241,Amazona oratrix,16.020278,-97.673056
1897564240,Amazona oratrix,18.100556,-102.394167
1897564239,Amazona oratrix,16.174444,-97.62
1897564236,Amazona oratrix,18.261028,-102.129111
1897564234,Amazona oratrix,18.284222,-102.074528
1897564232,Amazona oratrix,18.101917,-102.404139
1897564231,Amazona oratrix,18.254111,-102.153167
1897564230,Amazona oratrix,18.169194,-102.318111
1897564229,Amazona oratrix,18.311667,-103.396389
1897564227,Amazona oratrix,18.032222,-101.747778
1897564223,Amazona oratrix,16.026389,-95.663889
1897564221,Amazona oratrix,16.305556,-95.411111
1897564220,Amazona oratrix,17.916944,-101.793056
1897564219,Amazona oratrix,16.081389,-97.801111
1897564218,Amazona oratrix,16.028333,-95.685
1897564217,Amazona oratrix,18.27,-102.515833
1897564215,Amazona oratrix,15.820556,-96.064167
1897564214,Amazona oratrix,19.498389,-105.043028
1897564212,Amazona oratrix,18.345556,-103.448611
1897564211,Amazona oratrix,16.198333,-97.877778
1897564209,Amazona oratrix,15.924722,-95.934722
1897564208,Amazona oratrix,15.893889,-96.6825
1897564206,Amazona oratrix,18.247639,-102.518472
1897564205,Amazona oratrix,16.204444,-97.521389
1897564204,Amazona oratrix,18.475278,-103.534167
1897564203,Amazona oratrix,18.137778,-102.518889
1897564202,Amazona oratrix,16.166667,-97.533333
1897564201,Amazona oratrix,17.136361,-95.062167
1897564199,Amazona oratrix,15.893889,-96.959167
1897564196,Amazona oratrix,17.662196,-91.929096
1897564195,Amazona oratrix,18.250222,-102.139722
1897564193,Amazona oratrix,18.090278,-102.407222
1897564192,Amazona oratrix,18.346667,-103.4425
1897564189,Amazona oratrix,15.775,-96.098889
1897564188,Amazona oratrix,16.182222,-97.531111
1897564187,Amazona oratrix,18.233611,-102.9975
1897564186,Amazona oratrix,15.988333,-95.671944
1897564184,Amazona oratrix,18.2525,-103.2425
1897564183,Amazona oratrix,18.149722,-101.702444
1897564182,Amazona oratrix,18.241917,-102.155944
1897564180,Amazona oratrix,16.038611,-95.967778
1897564179,Amazona oratrix,18.303333,-102.49425
1897564178,Amazona oratrix,18.269417,-102.007694
1897564177,Amazona oratrix,18.018889,-101.840278
1897564176,Amazona oratrix,19.512389,-105.037028
1897564175,Amazona oratrix,16.15,-97.811944
1897564172,Amazona oratrix,16.338056,-98.050833
1897564170,Amazona oratrix,18.193611,-102.439167
1897564168,Amazona oratrix,16.171667,-97.735833
1897564166,Amazona oratrix,18.271,-102.12825
1897564165,Amazona oratrix,15.757778,-96.803333
1897564163,Amazona oratrix,16.101944,-95.518333
1897564162,Amazona oratrix,15.819722,-96.063333
1897564161,Amazona oratrix,18.091111,-102.395833
1897564160,Amazona oratrix,18.236111,-102.021333
1897564158,Amazona oratrix,18.25025,-102.132639
1897564157,Amazona oratrix,16.418889,-95.418333
1897564156,Amazona oratrix,16.166944,-97.719167
1897564152,Amazona oratrix,15.921944,-96.9375
1897564151,Amazona oratrix,17.759904,-91.794157
1897564147,Amazona oratrix,18.301361,-102.493889
1897564136,Amazona oratrix,17.105389,-95.043556
1897564134,Amazona oratrix,17.401389,-100.587222
1897564132,Amazona oratrix,18.252222,-102.26
1897564131,Amazona oratrix,17.783056,-101.231111
1897564127,Amazona oratrix,18.252667,-102.5125
1897564124,Amazona oratrix,17.425278,-100.780278
1897564121,Amazona oratrix,18.189167,-101.785778
1897564119,Amazona oratrix,17.282222,-100.614722
1897564111,Amazona oratrix,18.259194,-102.010944
1897564104,Amazona oratrix,18.174167,-102.514722
1894216585,Amazona oratrix,18.269722,-103.346667
1894216559,Amazona oratrix,18.06,-102.673611
1894216533,Amazona oratrix,18.311667,-103.401389
1894216519,Amazona oratrix,18.269722,-103.346667
1894216510,Amazona oratrix,18.269722,-103.346667
1894216506,Amazona oratrix,18.3475,-103.46
1894216504,Amazona oratrix,18.274722,-103.328333
1894216496,Amazona oratrix,18.319722,-103.393056
1894216495,Amazona oratrix,18.320833,-103.397222
1894216494,Amazona oratrix,18.344444,-103.444167
1894216493,Amazona oratrix,18.269722,-103.346667
1894216491,Amazona oratrix,18.625556,-103.684722
1894216487,Amazona oratrix,18.269722,-103.346667
1894216483,Amazona oratrix,18.347778,-103.460833
1894216482,Amazona oratrix,18.269722,-103.346667
1894216480,Amazona oratrix,18.625556,-103.684722
1894216479,Amazona oratrix,18.322222,-103.465833
1894216478,Amazona oratrix,18.269722,-103.346667
1894216476,Amazona oratrix,18.086944,-102.761389
1894216472,Amazona oratrix,18.322222,-103.465833
1894216469,Amazona oratrix,18.313889,-103.3975
1894216467,Amazona oratrix,18.345,-103.455556
1894216466,Amazona oratrix,18.274722,-103.328333
1894216463,Amazona oratrix,18.359167,-103.451944
1894216462,Amazona oratrix,18.3175,-103.452222
1894216458,Amazona oratrix,18.314167,-103.4
1894216453,Amazona oratrix,18.341667,-103.358333
1894216452,Amazona oratrix,18.342778,-103.455556
1894216451,Amazona oratrix,18.269722,-103.346667
1894216450,Amazona oratrix,18.310556,-103.4425
1894216449,Amazona oratrix,18.342778,-103.455556
1894216448,Amazona oratrix,18.344167,-103.4575
1894216447,Amazona oratrix,18.344722,-103.444167
1894216445,Amazona oratrix,18.343056,-103.451389
1894216444,Amazona oratrix,18.283333,-103.372222
1894216442,Amazona oratrix,18.32,-103.391944
1894216441,Amazona oratrix,18.118333,-102.801944
1894216440,Amazona oratrix,18.318611,-103.395833
1894216439,Amazona oratrix,18.322222,-103.390278
1894216436,Amazona oratrix,18.077222,-102.756389
1894216435,Amazona oratrix,18.625556,-103.684722
1894216434,Amazona oratrix,18.625556,-103.684722
1894216433,Amazona oratrix,18.06,-102.673611
1894216432,Amazona oratrix,18.317222,-103.395
1894216431,Amazona oratrix,18.269722,-103.346667
1894216427,Amazona oratrix,18.351389,-103.441944
1894216426,Amazona oratrix,18.321944,-103.391667
1894216424,Amazona oratrix,18.314444,-103.398889
1894216421,Amazona oratrix,18.337778,-103.458889
1894216419,Amazona oratrix,18.344167,-103.4575
1894216418,Amazona oratrix,18.323056,-103.453333
1894216417,Amazona oratrix,18.302778,-103.397778
1894216416,Amazona oratrix,18.269722,-103.346667
1894216413,Amazona oratrix,18.269722,-103.346667
1894216412,Amazona oratrix,18.314444,-103.398889
1894216411,Amazona oratrix,18.269722,-103.346667
1894216409,Amazona oratrix,18.315833,-103.452778
1894216408,Amazona oratrix,18.118889,-102.819167
1894216407,Amazona oratrix,18.305556,-103.391944
1894216405,Amazona oratrix,17.943333,-102.146667
1894216404,Amazona oratrix,18.274722,-103.328333
1894216394,Amazona oratrix,18.3475,-103.46
1894216393,Amazona oratrix,18.269722,-103.346667
1894216391,Amazona oratrix,18.269722,-103.346667
1894216387,Amazona oratrix,18.311667,-103.402222
1894216386,Amazona oratrix,18.343056,-103.451389
1894216380,Amazona oratrix,18.275,-103.35
1894216379,Amazona oratrix,18.340278,-103.450556
1894216378,Amazona oratrix,18.341667,-103.358333
1894216377,Amazona oratrix,18.341667,-103.358333
1894216375,Amazona oratrix,18.319722,-103.395833
1894216373,Amazona oratrix,18.35,-103.440556
1894216369,Amazona oratrix,18.274722,-103.328333
1894216364,Amazona oratrix,18.269722,-103.346667
1894216357,Amazona oratrix,18.306389,-103.398333
1894216356,Amazona oratrix,18.25,-103.241667
1894216351,Amazona oratrix,18.317222,-103.395
1894216350,Amazona oratrix,18.320833,-103.397222
1894216347,Amazona oratrix,18.269722,-103.346667
1894216346,Amazona oratrix,18.341111,-103.448889
1894216345,Amazona oratrix,18.093889,-102.783333
1894216335,Amazona oratrix,18.344722,-103.4525
1894216331,Amazona oratrix,18.269722,-103.346667
1894216328,Amazona oratrix,18.25,-103.241667
1894216327,Amazona oratrix,18.269722,-103.346667
143823806,Amazona oratrix,15.983,-97.717
143823805,Amazona oratrix,15.983,-97.717
143823804,Amazona oratrix,15.983,-97.717
143823292,Amazona oratrix,16.451,-94.63
1418263216,Amazona oratrix,19.500278,-105.046111
1418263218,Amazona oratrix,21.64138201,-106.5955175
1418263221,Amazona oratrix,21.46778928,-106.4375621
1418263228,Amazona oratrix,21.60191914,-106.5645915
1418263233,Amazona oratrix,21.62585034,-106.5645529
143823806,Amazona oratrix,18.27917051,-102.1071288
143823800,Amazona oratrix,18.23936544,-102.0244952
1438238099,Amazona oratrix,18.35875326,-102.1262902
1438238,Amazona oratrix,18.31214495,-102.062818
1438230,Amazona oratrix,18.22002825,-102.083177
143823333,Amazona oratrix,15.76516593,-96.24837752
