gbifID,Species,Longitude,Latitude
891146634,Amazona oratrix,-106.582855,21.690139
5024037860,Amazona oratrix,-88.176834,17.407322
4169279536,Amazona oratrix,-94.62972,16.45139
4169261357,Amazona oratrix,-97.71667,15.98333
4169243806,Amazona oratrix,-97.71667,15.98333
4169234057,Amazona oratrix,-97.71667,15.98333
3764188538,Amazona oratrix,-95.09694,16.884879
3039460794,Amazona oratrix,-106.651494,21.67627
2630716306,Amazona oratrix,-104.685,19.201667
2630697276,Amazona oratrix,-91.996667,17.858333
2243701722,Amazona oratrix,-94.5653,18.0024
2243700409,Amazona oratrix,-94.5653,18.0024
2243688304,Amazona oratrix,-94.5653,18.0024
2243672394,Amazona oratrix,-94.5653,18.0024
2243635321,Amazona oratrix,-97.7,23.666667
2243634492,Amazona oratrix,-97.7,23.666667
2243634287,Amazona oratrix,-97.7,23.666667
2243633819,Amazona oratrix,-97.7,23.666667
2243569358,Amazona oratrix,-94.5653,18.0024
2006057352,Amazona oratrix,-106.404582,21.497803
1897579147,Amazona oratrix,-102.060997,18.035999
1897579125,Amazona oratrix,-102.060997,18.035999
1897564386,Amazona oratrix,-96.870556,15.846944
1897564370,Amazona oratrix,-97.605278,16.315278
1897564367,Amazona oratrix,-102.149,18.249306
1897564360,Amazona oratrix,-96.972222,15.883889
1897564353,Amazona oratrix,-102.310333,18.155194
1897564348,Amazona oratrix,-102.493056,18.302222
1897564345,Amazona oratrix,-102.138528,18.260639
1897564341,Amazona oratrix,-101.708333,18.098611
1897564338,Amazona oratrix,-97.894722,16.070278
1897564334,Amazona oratrix,-102.176,18.235139
1897564329,Amazona oratrix,-96.197944,15.891361
1897564327,Amazona oratrix,-102.168139,18.239139
1897564326,Amazona oratrix,-102.085444,18.296194
1897564324,Amazona oratrix,-102.154333,18.253556
1897564320,Amazona oratrix,-102.501806,18.252
1897564318,Amazona oratrix,-98.022222,16.331944
1897564316,Amazona oratrix,-98.275,16.475
1897564314,Amazona oratrix,-102.501278,18.211083
1897564313,Amazona oratrix,-102.466889,18.288889
1897564309,Amazona oratrix,-102.514361,18.065306
1897564308,Amazona oratrix,-102.5105,18.263583
1897564304,Amazona oratrix,-97.619722,16.21
1897564303,Amazona oratrix,-102.154972,18.239333
1897564302,Amazona oratrix,-91.925605,17.657966
1897564299,Amazona oratrix,-102.395083,18.102
1897564293,Amazona oratrix,-97.6225,16.071944
1897564292,Amazona oratrix,-102.016944,18.206389
1897564290,Amazona oratrix,-91.794571,17.764371
1897564289,Amazona oratrix,-103.084167,18.223056
1897564288,Amazona oratrix,-102.494833,18.300972
1897564287,Amazona oratrix,-96.072778,15.824722
1897564286,Amazona oratrix,-95.441667,16.154444
1897564285,Amazona oratrix,-97.758056,16.016944
1897564282,Amazona oratrix,-103.351389,18.286389
1897564280,Amazona oratrix,-102.5175,18.143333
1897564278,Amazona oratrix,-96.246389,15.908333
1897564277,Amazona oratrix,-102.246667,18.218611
1897564276,Amazona oratrix,-105.025556,19.474722
1897564273,Amazona oratrix,-105.038333,19.487778
1897564272,Amazona oratrix,-102.166667,18.243667
1897564270,Amazona oratrix,-103.462778,18.333056
1897564269,Amazona oratrix,-95.052222,17.311556
1897564267,Amazona oratrix,-95.114056,17.185306
1897564266,Amazona oratrix,-97.773056,15.998889
1897564264,Amazona oratrix,-97.991389,16.758056
1897564263,Amazona oratrix,-96.74,15.858056
1897564259,Amazona oratrix,-102.017778,18.231667
1897564258,Amazona oratrix,-102.407611,18.092139
1897564255,Amazona oratrix,-102.617778,18.098611
1897564252,Amazona oratrix,-102.393056,18.095556
1897564251,Amazona oratrix,-96.074722,15.828056
1897564250,Amazona oratrix,-102.499917,18.26275
1897564249,Amazona oratrix,-100.576111,17.475
1897564248,Amazona oratrix,-97.647222,16.196944
1897564247,Amazona oratrix,-101.635,18.850556
1897564245,Amazona oratrix,-100.559722,17.486389
1897564244,Amazona oratrix,-95.437778,16.418889
1897564242,Amazona oratrix,-96.174444,15.9225
1897564241,Amazona oratrix,-97.673056,16.020278
1897564240,Amazona oratrix,-102.394167,18.100556
1897564239,Amazona oratrix,-97.62,16.174444
1897564236,Amazona oratrix,-102.129111,18.261028
1897564234,Amazona oratrix,-102.074528,18.284222
1897564232,Amazona oratrix,-102.404139,18.101917
1897564231,Amazona oratrix,-102.153167,18.254111
1897564230,Amazona oratrix,-102.318111,18.169194
1897564229,Amazona oratrix,-103.396389,18.311667
1897564227,Amazona oratrix,-101.747778,18.032222
1897564223,Amazona oratrix,-95.663889,16.026389
1897564221,Amazona oratrix,-95.411111,16.305556
1897564220,Amazona oratrix,-101.793056,17.916944
1897564219,Amazona oratrix,-97.801111,16.081389
1897564218,Amazona oratrix,-95.685,16.028333
1897564217,Amazona oratrix,-102.515833,18.27
1897564215,Amazona oratrix,-96.064167,15.820556
1897564214,Amazona oratrix,-105.043028,19.498389
1897564212,Amazona oratrix,-103.448611,18.345556
1897564211,Amazona oratrix,-97.877778,16.198333
1897564209,Amazona oratrix,-95.934722,15.924722
1897564208,Amazona oratrix,-96.6825,15.893889
1897564206,Amazona oratrix,-102.518472,18.247639
1897564205,Amazona oratrix,-97.521389,16.204444
1897564204,Amazona oratrix,-103.534167,18.475278
1897564203,Amazona oratrix,-102.518889,18.137778
1897564202,Amazona oratrix,-97.533333,16.166667
1897564201,Amazona oratrix,-95.062167,17.136361
1897564199,Amazona oratrix,-96.959167,15.893889
1897564196,Amazona oratrix,-91.929096,17.662196
1897564195,Amazona oratrix,-102.139722,18.250222
1897564193,Amazona oratrix,-102.407222,18.090278
1897564192,Amazona oratrix,-103.4425,18.346667
1897564189,Amazona oratrix,-96.098889,15.775
1897564188,Amazona oratrix,-97.531111,16.182222
1897564187,Amazona oratrix,-102.9975,18.233611
1897564186,Amazona oratrix,-95.671944,15.988333
1897564184,Amazona oratrix,-103.2425,18.2525
1897564183,Amazona oratrix,-101.702444,18.149722
1897564182,Amazona oratrix,-102.155944,18.241917
1897564180,Amazona oratrix,-95.967778,16.038611
1897564179,Amazona oratrix,-102.49425,18.303333
1897564178,Amazona oratrix,-102.007694,18.269417
1897564177,Amazona oratrix,-101.840278,18.018889
1897564176,Amazona oratrix,-105.037028,19.512389
1897564175,Amazona oratrix,-97.811944,16.15
1897564172,Amazona oratrix,-98.050833,16.338056
1897564170,Amazona oratrix,-102.439167,18.193611
1897564168,Amazona oratrix,-97.735833,16.171667
1897564166,Amazona oratrix,-102.12825,18.271
1897564165,Amazona oratrix,-96.803333,15.757778
1897564163,Amazona oratrix,-95.518333,16.101944
1897564162,Amazona oratrix,-96.063333,15.819722
1897564161,Amazona oratrix,-102.395833,18.091111
1897564160,Amazona oratrix,-102.021333,18.236111
1897564158,Amazona oratrix,-102.132639,18.25025
1897564157,Amazona oratrix,-95.418333,16.418889
1897564156,Amazona oratrix,-97.719167,16.166944
1897564152,Amazona oratrix,-96.9375,15.921944
1897564151,Amazona oratrix,-91.794157,17.759904
1897564147,Amazona oratrix,-102.493889,18.301361
1897564136,Amazona oratrix,-95.043556,17.105389
1897564134,Amazona oratrix,-100.587222,17.401389
1897564132,Amazona oratrix,-102.26,18.252222
1897564131,Amazona oratrix,-101.231111,17.783056
1897564127,Amazona oratrix,-102.5125,18.252667
1897564124,Amazona oratrix,-100.780278,17.425278
1897564121,Amazona oratrix,-101.785778,18.189167
1897564119,Amazona oratrix,-100.614722,17.282222
1897564111,Amazona oratrix,-102.010944,18.259194
1897564104,Amazona oratrix,-102.514722,18.174167
1894216585,Amazona oratrix,-103.346667,18.269722
1894216559,Amazona oratrix,-102.673611,18.06
1894216533,Amazona oratrix,-103.401389,18.311667
1894216519,Amazona oratrix,-103.346667,18.269722
1894216510,Amazona oratrix,-103.346667,18.269722
1894216506,Amazona oratrix,-103.46,18.3475
1894216504,Amazona oratrix,-103.328333,18.274722
1894216496,Amazona oratrix,-103.393056,18.319722
1894216495,Amazona oratrix,-103.397222,18.320833
1894216494,Amazona oratrix,-103.444167,18.344444
1894216493,Amazona oratrix,-103.346667,18.269722
1894216491,Amazona oratrix,-103.684722,18.625556
1894216487,Amazona oratrix,-103.346667,18.269722
1894216483,Amazona oratrix,-103.460833,18.347778
1894216482,Amazona oratrix,-103.346667,18.269722
1894216480,Amazona oratrix,-103.684722,18.625556
1894216479,Amazona oratrix,-103.465833,18.322222
1894216478,Amazona oratrix,-103.346667,18.269722
1894216476,Amazona oratrix,-102.761389,18.086944
1894216472,Amazona oratrix,-103.465833,18.322222
1894216469,Amazona oratrix,-103.3975,18.313889
1894216467,Amazona oratrix,-103.455556,18.345
1894216466,Amazona oratrix,-103.328333,18.274722
1894216463,Amazona oratrix,-103.451944,18.359167
1894216462,Amazona oratrix,-103.452222,18.3175
1894216458,Amazona oratrix,-103.4,18.314167
1894216453,Amazona oratrix,-103.358333,18.341667
1894216452,Amazona oratrix,-103.455556,18.342778
1894216451,Amazona oratrix,-103.346667,18.269722
1894216450,Amazona oratrix,-103.4425,18.310556
1894216449,Amazona oratrix,-103.455556,18.342778
1894216448,Amazona oratrix,-103.4575,18.344167
1894216447,Amazona oratrix,-103.444167,18.344722
1894216445,Amazona oratrix,-103.451389,18.343056
1894216444,Amazona oratrix,-103.372222,18.283333
1894216442,Amazona oratrix,-103.391944,18.32
1894216441,Amazona oratrix,-102.801944,18.118333
1894216440,Amazona oratrix,-103.395833,18.318611
1894216439,Amazona oratrix,-103.390278,18.322222
1894216436,Amazona oratrix,-102.756389,18.077222
1894216435,Amazona oratrix,-103.684722,18.625556
1894216434,Amazona oratrix,-103.684722,18.625556
1894216433,Amazona oratrix,-102.673611,18.06
1894216432,Amazona oratrix,-103.395,18.317222
1894216431,Amazona oratrix,-103.346667,18.269722
1894216427,Amazona oratrix,-103.441944,18.351389
1894216426,Amazona oratrix,-103.391667,18.321944
1894216424,Amazona oratrix,-103.398889,18.314444
1894216421,Amazona oratrix,-103.458889,18.337778
1894216419,Amazona oratrix,-103.4575,18.344167
1894216418,Amazona oratrix,-103.453333,18.323056
1894216417,Amazona oratrix,-103.397778,18.302778
1894216416,Amazona oratrix,-103.346667,18.269722
1894216413,Amazona oratrix,-103.346667,18.269722
1894216412,Amazona oratrix,-103.398889,18.314444
1894216411,Amazona oratrix,-103.346667,18.269722
1894216409,Amazona oratrix,-103.452778,18.315833
1894216408,Amazona oratrix,-102.819167,18.118889
1894216407,Amazona oratrix,-103.391944,18.305556
1894216405,Amazona oratrix,-102.146667,17.943333
1894216404,Amazona oratrix,-103.328333,18.274722
1894216394,Amazona oratrix,-103.46,18.3475
1894216393,Amazona oratrix,-103.346667,18.269722
1894216391,Amazona oratrix,-103.346667,18.269722
1894216387,Amazona oratrix,-103.402222,18.311667
1894216386,Amazona oratrix,-103.451389,18.343056
1894216380,Amazona oratrix,-103.35,18.275
1894216379,Amazona oratrix,-103.450556,18.340278
1894216378,Amazona oratrix,-103.358333,18.341667
1894216377,Amazona oratrix,-103.358333,18.341667
1894216375,Amazona oratrix,-103.395833,18.319722
1894216373,Amazona oratrix,-103.440556,18.35
1894216369,Amazona oratrix,-103.328333,18.274722
1894216364,Amazona oratrix,-103.346667,18.269722
1894216357,Amazona oratrix,-103.398333,18.306389
1894216356,Amazona oratrix,-103.241667,18.25
1894216351,Amazona oratrix,-103.395,18.317222
1894216350,Amazona oratrix,-103.397222,18.320833
1894216347,Amazona oratrix,-103.346667,18.269722
1894216346,Amazona oratrix,-103.448889,18.341111
1894216345,Amazona oratrix,-102.783333,18.093889
1894216335,Amazona oratrix,-103.4525,18.344722
1894216331,Amazona oratrix,-103.346667,18.269722
1894216328,Amazona oratrix,-103.241667,18.25
1894216327,Amazona oratrix,-103.346667,18.269722
143823806,Amazona oratrix,-97.717,15.983
143823805,Amazona oratrix,-97.717,15.983
143823804,Amazona oratrix,-97.717,15.983
143823292,Amazona oratrix,-94.63,16.451
1418263216,Amazona oratrix,-105.046111,19.500278
1418263218,Amazona oratrix,-106.5955175,21.64138201
1418263221,Amazona oratrix,-106.4375621,21.46778928
1418263228,Amazona oratrix,-106.5645915,21.60191914
1418263233,Amazona oratrix,-106.5645529,21.62585034
143823806,Amazona oratrix,-102.1071288,18.27917051
143823800,Amazona oratrix,-102.0244952,18.23936544
1438238099,Amazona oratrix,-102.1262902,18.35875326
1438238,Amazona oratrix,-102.062818,18.31214495
1438230,Amazona oratrix,-102.083177,18.22002825
143823333,Amazona oratrix,-96.24837752,15.76516593
