species,longitude,latitude
Amazona oratrix,-106.582855,21.690139
Amazona oratrix,-94.62972,16.45139
Amazona oratrix,-97.71667,15.98333
Amazona oratrix,-97.71667,15.98333
Amazona oratrix,-97.71667,15.98333
Amazona oratrix,-106.651494,21.67627
Amazona oratrix,-104.685,19.201667
Amazona oratrix,-106.404582,21.497803
Amazona oratrix,-102.060997,18.035999
Amazona oratrix,-102.060997,18.035999
Amazona oratrix,-96.870556,15.846944
Amazona oratrix,-97.605278,16.315278
Amazona oratrix,-102.149,18.249306
Amazona oratrix,-96.972222,15.883889
Amazona oratrix,-102.310333,18.155194
Amazona oratrix,-102.493056,18.302222
Amazona oratrix,-102.138528,18.260639
Amazona oratrix,-101.708333,18.098611
Amazona oratrix,-97.894722,16.070278
Amazona oratrix,-102.176,18.235139
Amazona oratrix,-96.197944,15.891361
Amazona oratrix,-102.168139,18.239139
Amazona oratrix,-102.085444,18.296194
Amazona oratrix,-102.154333,18.253556
Amazona oratrix,-102.501806,18.252
Amazona oratrix,-98.022222,16.331944
Amazona oratrix,-98.275,16.475
Amazona oratrix,-102.501278,18.211083
Amazona oratrix,-102.466889,18.288889
Amazona oratrix,-102.514361,18.065306
Amazona oratrix,-102.5105,18.263583
Amazona oratrix,-97.619722,16.21
Amazona oratrix,-102.154972,18.239333
Amazona oratrix,-102.395083,18.102
Amazona oratrix,-97.6225,16.071944
Amazona oratrix,-102.016944,18.206389
Amazona oratrix,-103.084167,18.223056
Amazona oratrix,-102.494833,18.300972
Amazona oratrix,-96.072778,15.824722
Amazona oratrix,-95.441667,16.154444
Amazona oratrix,-97.758056,16.016944
Amazona oratrix,-103.351389,18.286389
Amazona oratrix,-102.5175,18.143333
Amazona oratrix,-96.246389,15.908333
Amazona oratrix,-102.246667,18.218611
Amazona oratrix,-105.025556,19.474722
Amazona oratrix,-105.038333,19.487778
Amazona oratrix,-102.166667,18.243667
Amazona oratrix,-103.462778,18.333056
Amazona oratrix,-97.773056,15.998889
Amazona oratrix,-96.74,15.858056
Amazona oratrix,-102.017778,18.231667
Amazona oratrix,-102.407611,18.092139
Amazona oratrix,-102.617778,18.098611
Amazona oratrix,-102.393056,18.095556
Amazona oratrix,-96.074722,15.828056
Amazona oratrix,-102.499917,18.26275
Amazona oratrix,-100.576111,17.475
Amazona oratrix,-97.647222,16.196944
